引用元,材料名,熱伝導率 [W/mK],熱容量 [kJ/m3・K]
simheat,中空層(1cm以上),0.09,1.298
simheat,中空層(1cm以下),0.09,1.298
simheat,中空層(工場生産2cm以下),0.09,1.298
simheat,中空層(工場生産2cm以上),0.18,1.298
simheat,鉛,35.006,1469.29
simheat,ステンレス鋼,15.003,3478.57
simheat,鋼材,53.01,3759.03
simheat,銅,370.067,3143.69
simheat,アルミニウム合金,200.036,2427.88
simheat,フェノールフォーム保温板1種1号,0.033,37.674
simheat,住宅用ロックウール断熱材マット,0.038,33.488
simheat,ポリエチレンフォームA,0.038,62.79
simheat,フェノールフォーム保温板2種1号,0.036,56.511
simheat,タタミボード,0.045,15.0696
simheat,ポリエチレンフォームB,0.042,62.79
simheat,A級インシュレーションボード,0.049,324.834
simheat,住宅用グラスウール断熱材16Ｋ相当,0.045,13.3952
simheat,住宅用グラスウール断熱材24Ｋ相当,0.038,20.0928
simheat,吹込用グラスウール断熱材1種13Ｋ相当,0.052,10.8836
simheat,シージングボード,0.052,390.135
simheat,住宅用ロックウール断熱材フェルト,0.038,41.86
simheat,フェノールフォーム保温板2種2号,0.034,56.511
simheat,住宅用グラスウール断熱材10K相当,0.05,8.372
simheat,吹付けロックウール,0.047,167.859
simheat,フェノールフォーム保温板1種2号,0.03,37.674
simheat,住宅用グラスウール断熱材32K相当,0.036,26.7904
simheat,住宅用ロックウール断熱材ボード,0.036,58.604
simheat,吹込用グラスウール断熱材2種18K相当,0.052,16.744
simheat,高性能グラスウール断熱材16K相当,0.038,13.3952
simheat,押出法ポリスチレンフォーム1種,0.04,25.116
simheat,ビーズ法ポリスチレンフォーム2号,0.037,31.395
simheat,ロックウール化粧吸音板,0.058,293.857
simheat,吹込用グラスウール断熱材2種30K相当,0.04,29.302
simheat,吹込用グラスウール断熱材2種35K相当,0.04,37.674
simheat,硬質ウレタンフォーム保温板1種3号,0.026,31.395
simheat,硬質ウレタンフォーム保温板2種1号,0.023,56.0924
simheat,ビーズ法ポリスチレンフォーム4号,0.043,18.837
simheat,硬質ウレタンフォーム(現場発泡品),0.026,49.8134
simheat,高性能グラスウール断熱材24K相当,0.036,20.0928
simheat,押出法ポリスチレンフォーム3種,0.028,25.116
simheat,硬質ウレタンフォーム保温板2種2号,0.023,43.953
simheat,ビーズ法ポリスチレンフォーム1号,0.036,37.674
simheat,吹込用セルローズファイバー断熱材1,0.04,37.674
simheat,押出法ポリスチレンフォーム2種,0.034,25.116
simheat,硬質ウレタンフォーム保温板2種3号,0.024,31.395
simheat,ビーズ法ポリスチレンフォーム特号,0.034,33.9066
simheat,硬質ウレタンフォーム保温板1種1号,0.024,56.0924
simheat,吹込用セルローズファイバー断熱材2,0.04,62.79
simheat,吹込用ロックウール断熱材35K,0.051,29.302
simheat,硬質ウレタンフォーム保温板1種2号,0.024,43.953
simheat,吹込用ロックウール断熱材25K,0.047,20.93
simheat,ビーズ法ポリスチレンフォーム3号,0.04,25.116
simheat,ハードボード,0.17,1232.78
simheat,天然木材2類(松、ラワン等),0.15,648.83
simheat,合板,0.16,715.806
simheat,断熱木毛セメント板,0.1,841.386
simheat,天然木材1類(桧、杉、えぞ松等),0.12,519.064
simheat,天然木材3類(ナラ、サクラ、ブナ等),0.19,845.572
simheat,木片セメント板,0.17,1678.59
simheat,パーティクルボード,0.15,715.806
simheat,せっこうプラスター,0.6,1636.73
simheat,土壁,0.69,1126.03
simheat,タイル,1.3,2017.65
simheat,プラスチック(P)タイル,0.19,4.186
simheat,耐火れんが,0.99,1553.01
simheat,繊維質上塗材,0.12,4.186
simheat,フロートガラス(窓ガラスて?はない),1,1913.84
simheat,普通れんが,0.62,1385.57
simheat,せっこうボード,0.22,904.176
simheat,漆喰,0.7,1092.55
simheat,コンクリート,1.6,1896.26
simheat,セメント・モルタル,1.5,1599.05
simheat,軽量骨材コンクリート2種,0.58,1599.05
simheat,軽量骨材コンクリート1種,0.81,1900.44
simheat,軽量気泡コンクリートパネル(ALCパネル),0.17,661.388
simheat,PVC(塩化ビニル),0.17,1023.48
simheat,畳床,0.11,527.436
追加,硬質ウレタン保温材,0.023,56.092
追加,グラスウール断熱材24K相当,0.038,20
追加,グラスウール断熱材10K,0.05,8.4
追加,XPS1種A,0.036,35
追加,XPS3種,0.028,40
追加,A種フェノールフォーム保温板1種2号,0.02,77
追加,ダイライトMS,0.13,698
追加,遮音マット,0.2,1023.48
追加,ふく射パネル_PP,0.134,342
追加,ふく射パネル_PB,0.121,937.5
追加,樹脂パネル,0.125,1795.4
追加,パーティクルボード,0.15,715
追加,畳,0.15,290
追加,ALC,0.15,660
